source_row,date,home_team_raw,away_team_raw,home_goals_raw,away_goals_raw,round_raw,group,home_team,away_team,home_goals,away_goals,has_score_annotation,season_start,round,phase,result,home_win,goal_difference,source,home_elo_pre,away_elo_pre,elo_diff_pre,elo_expected_home_score,home_alltime_Rank,home_alltime_Matches,home_alltime_win_rate,home_alltime_points_per_match,home_alltime_Goals_per_match,home_alltime_Goals_conceded_per_match,home_alltime_goal_difference_per_match,home_alltime_alltime_elo_proxy,away_alltime_Rank,away_alltime_Matches,away_alltime_win_rate,away_alltime_points_per_match,away_alltime_Goals_per_match,away_alltime_Goals_conceded_per_match,away_alltime_goal_difference_per_match,away_alltime_alltime_elo_proxy,alltime_elo_proxy_diff,alltime_win_rate_diff,alltime_ppm_diff,alltime_goals_per_match_diff,alltime_conceded_per_match_diff
2,2005-09-14,Arsenal,FC Thun,2,1,round : 1,B,Arsenal FC,FC Thun Berner Oberland,2,1,False,2005,1,Group,H,1,1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,13,197,0.4720812182741117,1.6395939086294415,1.6446700507614214,1.1472081218274113,0.49746192893401014,1553.2,236,6,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.5,-0.8333333333333334,1459.7,93.5,0.305414551607445,0.9729272419627749,0.9780033840947547,-0.3527918781725887
3,2005-09-14,Sparta Praha,Ajax,1,1,round : 1,B,AC Sparta Praha,AFC Ajax,1,1,False,2005,1,Group,D,0,0,detailed_2005_2021,1500.0,1500.0,0.0,0.5,35,102,0.3235294117647059,1.2058823529411764,1.2745098039215683,1.5098039215686274,-0.23529411764705882,1465.7,11,215,0.46511627906976744,1.627906976744186,1.613953488372093,1.1255813953488372,0.4883720930232558,1552.1,-86.39999999999986,-0.14158686730506154,-0.42202462380300965,-0.33944368445052464,0.38422252621979025
4,2005-09-14,Udinese,Panathinaikos,3,0,round : 1,C,Udinese Calcio,Panathinaikos,3,0,False,2005,1,Group,H,1,3,detailed_2005_2021,1500.0,1500.0,0.0,0.5,198,6,0.3333333333333333,1.1666666666666667,1.6666666666666667,2.0,-0.3333333333333333,1486.6,30,127,0.28346456692913385,1.141732283464567,1.0866141732283463,1.3937007874015748,-0.30708661417322836,1457.2,29.399999999999864,0.04986876640419946,0.02493438320209984,0.5800524934383204,0.6062992125984252
5,2005-09-14,Werder Bremen,Barcelona,0,2,round : 1,C,Werder Bremen,FC Barcelona,0,2,False,2005,1,Group,A,0,-2,detailed_2005_2021,1500.0,1500.0,0.0,0.5,51,60,0.38333333333333336,1.3833333333333333,1.6,1.65,-0.05,1500.0,3,341,0.5747800586510264,1.9501466275659824,1.9794721407624636,1.0439882697947214,0.9354838709677419,1628.8,-128.79999999999995,-0.19144672531769308,-0.5668132942326491,-0.3794721407624635,0.6060117302052785
6,2005-09-14,SL Benfica,Lille OSC,1,0,round : 1,D,SL Benfica,Lille OSC,1,0,False,2005,1,Group,H,1,1,detailed_2005_2021,1500.0,1500.0,0.0,0.5,9,266,0.43609022556390975,1.537593984962406,1.6466165413533835,1.218045112781955,0.42857142857142855,1532.9,82,46,0.1956521739130435,0.9130434782608695,0.8260869565217391,1.2391304347826086,-0.41304347826086957,1430.7,102.20000000000005,0.24043805165086626,0.6245505067015366,0.8205295848316444,-0.021085322000653717
7,2005-09-14,Villarreal,Manchester United,0,0,round : 1,D,Villarreal CF,Manchester United,0,0,False,2005,1,Group,D,0,0,detailed_2005_2021,1500.0,1500.0,0.0,0.5,72,40,0.275,1.2,1.075,1.25,-0.175,1482.6,4,289,0.5294117647058824,1.8269896193771626,1.813148788927336,1.038062283737024,0.7750865051903114,1599.3,-116.70000000000005,-0.25441176470588234,-0.6269896193771627,-0.7381487889273362,0.21193771626297608
16,2005-09-27,Bayern München,Club Brugge,1,0,round : 2,A,Bayern Munich,Club Brugge KV,1,0,False,2005,2,Group,H,1,1,detailed_2005_2021,1510.0,1490.0,20.0,0.529,2,388,0.595360824742268,1.9871134020618557,2.105670103092784,1.0051546391752575,1.1005154639175259,1636.0,38,97,0.31958762886597936,1.1855670103092784,1.1855670103092784,1.4845360824742269,-0.29896907216494845,1461.2,174.79999999999995,0.2757731958762887,0.8015463917525774,0.9201030927835057,-0.47938144329896937
17,2005-09-27,Juventus,SK Rapid Wien,3,0,round : 2,A,Juventus,Rapid Wien,3,0,False,2005,2,Group,H,1,3,detailed_2005_2021,1510.0,1490.0,20.0,0.529,5,297,0.5084175084175084,1.754208754208754,1.589225589225589,1.0134680134680134,0.5757575757575758,1581.5,55,61,0.39344262295081966,1.2622950819672132,1.540983606557377,1.6229508196721312,-0.08196721311475409,1465.6,115.90000000000009,0.11497488546668877,0.4919136722415409,0.04824198266821211,-0.6094828062041178
18,2005-09-27,Ajax,Arsenal,1,2,round : 2,B,AFC Ajax,Arsenal FC,1,2,False,2005,2,Group,A,0,-1,detailed_2005_2021,1500.0,1510.0,-10.0,0.486,11,215,0.46511627906976744,1.627906976744186,1.613953488372093,1.1255813953488372,0.4883720930232558,1552.1,13,197,0.4720812182741117,1.6395939086294415,1.6446700507614214,1.1472081218274113,0.49746192893401014,1553.2,-1.1000000000001364,-0.006964939204344267,-0.011686931885255492,-0.030716562389328406,-0.02162672647857411
19,2005-09-27,FC Thun,Sparta Praha,1,0,round : 2,B,FC Thun Berner Oberland,AC Sparta Praha,1,0,False,2005,2,Group,H,1,1,detailed_2005_2021,1490.0,1500.0,-10.0,0.486,236,6,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.5,-0.8333333333333334,1459.7,35,102,0.3235294117647059,1.2058823529411764,1.2745098039215683,1.5098039215686274,-0.23529411764705882,1465.7,-6.0,-0.15686274509803924,-0.5392156862745098,-0.6078431372549017,-0.009803921568627416
20,2005-09-27,Barcelona,Udinese,4,1,round : 2,C,FC Barcelona,Udinese Calcio,4,1,False,2005,2,Group,H,1,3,detailed_2005_2021,1510.0,1510.0,0.0,0.5,3,341,0.5747800586510264,1.9501466275659824,1.9794721407624636,1.0439882697947214,0.9354838709677419,1628.8,198,6,0.3333333333333333,1.1666666666666667,1.6666666666666667,2.0,-0.3333333333333333,1486.6,142.20000000000005,0.24144672531769312,0.7834799608993157,0.31280547409579684,-0.9560117302052786
21,2005-09-27,Panathinaikos,Werder Bremen,2,1,round : 2,C,Panathinaikos,Werder Bremen,2,1,False,2005,2,Group,H,1,1,detailed_2005_2021,1490.0,1490.0,0.0,0.5,30,127,0.28346456692913385,1.141732283464567,1.0866141732283463,1.3937007874015748,-0.30708661417322836,1457.2,51,60,0.38333333333333336,1.3833333333333333,1.6,1.65,-0.05,1500.0,-42.799999999999955,-0.0998687664041995,-0.2416010498687664,-0.5133858267716538,-0.25629921259842514
22,2005-09-27,Lille OSC,Villarreal,0,0,round : 2,D,Lille OSC,Villarreal CF,0,0,False,2005,2,Group,D,0,0,detailed_2005_2021,1490.0,1500.0,-10.0,0.486,82,46,0.1956521739130435,0.9130434782608695,0.8260869565217391,1.2391304347826086,-0.41304347826086957,1430.7,72,40,0.275,1.2,1.075,1.25,-0.175,1482.6,-51.899999999999864,-0.07934782608695654,-0.28695652173913044,-0.24891304347826082,-0.010869565217391353
23,2005-09-27,Manchester United,SL Benfica,2,1,round : 2,D,Manchester United,SL Benfica,2,1,False,2005,2,Group,H,1,1,detailed_2005_2021,1500.0,1510.0,-10.0,0.486,4,289,0.5294117647058824,1.8269896193771626,1.813148788927336,1.038062283737024,0.7750865051903114,1599.3,9,266,0.43609022556390975,1.537593984962406,1.6466165413533835,1.218045112781955,0.42857142857142855,1532.9,66.39999999999986,0.09332153914197261,0.2893956344147566,0.16653224757395257,-0.17998282904493101
24,2005-09-28,FC Schalke 04,Milan,2,2,round : 2,E,FC Schalke 04,AC Milan,2,2,False,2005,2,Group,D,0,0,detailed_2005_2021,1490.0,1510.0,-20.0,0.471,40,73,0.3972602739726027,1.4246575342465753,1.4383561643835616,1.5205479452054795,-0.0821917808219178,1507.5,6,265,0.47924528301886793,1.6981132075471699,1.6264150943396227,0.981132075471698,0.6452830188679245,1571.7,-64.20000000000005,-0.08198500904626521,-0.2734556733005946,-0.1880589299560611,0.5394158697337815
25,2005-09-28,Fenerbahçe,PSV Eindhoven,3,0,round : 2,E,Fenerbahçe,PSV Eindhoven,3,0,False,2005,2,Group,H,1,3,detailed_2005_2021,1490.0,1510.0,-20.0,0.471,61,73,0.273972602739726,0.958904109589041,1.0136986301369864,1.9452054794520548,-0.9315068493150684,1412.3,19,171,0.3391812865497076,1.2690058479532165,1.2456140350877194,1.3099415204678362,-0.06432748538011696,1478.1,-65.79999999999995,-0.06520868380998157,-0.3101017383641754,-0.23191540495073304,0.6352639589842186
26,2005-09-28,Real Madrid,Olympiacos,2,1,round : 2,F,Real Madrid,Olympiakos Piraeus,2,1,False,2005,2,Group,H,1,1,detailed_2005_2021,1490.0,1490.0,0.0,0.5,1,486,0.5987654320987654,1.97119341563786,2.213991769547325,1.117283950617284,1.0967078189300412,1630.0,25,156,0.30128205128205127,1.0833333333333333,1.1282051282051282,1.698717948717949,-0.5705128205128205,1432.0,198.0,0.29748338081671416,0.8878600823045268,1.0857866413421968,-0.5814339981006649
27,2005-09-28,Rosenborg BK,Olympique Lyonnais,0,1,round : 2,F,Rosenborg BK,Olympique Lyon,0,1,False,2005,2,Group,A,0,-1,detailed_2005_2021,1510.0,1510.0,0.0,0.5,50,90,0.23333333333333334,0.9333333333333333,1.2333333333333334,1.9333333333333331,-0.7,1412.9,21,136,0.4264705882352941,1.5441176470588236,1.588235294117647,1.2279411764705883,0.3602941176470588,1535.8,-122.89999999999986,-0.19313725490196076,-0.6107843137254902,-0.3549019607843136,0.7053921568627448
28,2005-09-28,Liverpool,Chelsea,0,0,round : 2,G,Liverpool FC,Chelsea FC,0,0,False,2005,2,Group,D,0,0,detailed_2005_2021,1510.0,1510.0,0.0,0.5,7,230,0.5565217391304348,1.8782608695652174,1.891304347826087,0.9608695652173912,0.9304347826086956,1606.0,10,197,0.5126903553299492,1.8020304568527918,1.7106598984771573,0.934010152284264,0.7766497461928934,1593.5,12.5,0.04383138380048557,0.07623041271242559,0.18064444934892965,0.026859412933127214
29,2005-09-28,RSC Anderlecht,Real Betis Balompié,0,1,round : 2,G,RSC Anderlecht,Real Betis,0,1,False,2005,2,Group,A,0,-1,detailed_2005_2021,1490.0,1490.0,0.0,0.5,22,163,0.32515337423312884,1.1901840490797546,1.3312883435582823,1.7239263803680982,-0.39263803680981596,1458.0,201,6,0.3333333333333333,1.1666666666666667,0.5,1.1666666666666667,-0.6666666666666666,1486.6,-28.59999999999991,-0.00817995910020447,0.023517382413087873,0.8312883435582823,0.5572597137014315
30,2005-09-28,FC Porto,FC Petrzalka 1898,2,3,round : 2,H,FC Porto,FC Petržalka,2,3,False,2005,2,Group,A,0,-1,detailed_2005_2021,1490.0,1490.0,0.0,0.5,8,265,0.4528301886792453,1.5773584905660378,1.4792452830188678,1.1547169811320754,0.32452830188679244,1540.4,214,6,0.16666666666666666,1.0,0.8333333333333334,1.5,-0.6666666666666666,1486.6,53.80000000000018,0.28616352201257866,0.5773584905660378,0.6459119496855344,-0.34528301886792456
31,2005-09-28,Inter,Rangers,1,0,round : 2,H,Inter Milan,Rangers FC,1,0,False,2005,2,Group,H,1,1,detailed_2005_2021,1510.0,1510.0,0.0,0.5,12,203,0.47783251231527096,1.6945812807881773,1.4088669950738917,1.0295566502463054,0.3793103448275862,1569.5,26,131,0.3282442748091603,1.2213740458015268,1.3206106870229009,1.6564885496183206,-0.33587786259541985,1467.7,101.79999999999995,0.14958823750611067,0.4732072349866505,0.08825630805099083,-0.6269318993720152
32,2005-10-18,Bayern München,Juventus,2,1,round : 3,A,Bayern Munich,Juventus,2,1,False,2005,3,Group,H,1,1,detailed_2005_2021,1519.425,1519.425,0.0,0.5,2,388,0.595360824742268,1.9871134020618557,2.105670103092784,1.0051546391752575,1.1005154639175259,1636.0,5,297,0.5084175084175084,1.754208754208754,1.589225589225589,1.0134680134680134,0.5757575757575758,1581.5,54.5,0.0869433163247596,0.2329046478531016,0.5164445138671949,-0.008313374292755915
33,2005-10-18,SK Rapid Wien,Club Brugge,0,1,round : 3,A,Rapid Wien,Club Brugge KV,0,1,False,2005,3,Group,A,0,-1,detailed_2005_2021,1480.575,1480.575,0.0,0.5,55,61,0.39344262295081966,1.2622950819672132,1.540983606557377,1.6229508196721312,-0.08196721311475409,1465.6,38,97,0.31958762886597936,1.1855670103092784,1.1855670103092784,1.4845360824742269,-0.29896907216494845,1461.2,4.399999999999864,0.07385499408484031,0.07672807165793483,0.3554165962480986,0.13841473719790431
34,2005-10-18,Ajax,FC Thun,2,0,round : 3,B,AFC Ajax,FC Thun Berner Oberland,2,0,False,2005,3,Group,H,1,2,detailed_2005_2021,1490.288,1500.288,-10.0,0.486,11,215,0.46511627906976744,1.627906976744186,1.613953488372093,1.1255813953488372,0.4883720930232558,1552.1,236,6,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.5,-0.8333333333333334,1459.7,92.39999999999986,0.29844961240310075,0.9612403100775194,0.9472868217054263,-0.37441860465116283
35,2005-10-18,Sparta Praha,Arsenal,0,2,round : 3,B,AC Sparta Praha,Arsenal FC,0,2,False,2005,3,Group,A,0,-2,detailed_2005_2021,1489.712,1519.712,-30.0,0.457,35,102,0.3235294117647059,1.2058823529411764,1.2745098039215683,1.5098039215686274,-0.23529411764705882,1465.7,13,197,0.4720812182741117,1.6395939086294415,1.6446700507614214,1.1472081218274113,0.49746192893401014,1553.2,-87.5,-0.1485518065094058,-0.43371155568826514,-0.37016024683985305,0.36259579974121614
36,2005-10-18,Panathinaikos,Barcelona,0,0,round : 3,C,Panathinaikos,FC Barcelona,0,0,False,2005,3,Group,D,0,0,detailed_2005_2021,1500.0,1520.0,-20.0,0.471,30,127,0.28346456692913385,1.141732283464567,1.0866141732283463,1.3937007874015748,-0.30708661417322836,1457.2,3,341,0.5747800586510264,1.9501466275659824,1.9794721407624636,1.0439882697947214,0.9354838709677419,1628.8,-171.5999999999999,-0.2913154917218926,-0.8084143441014155,-0.8928579675341173,0.3497125176068534
37,2005-10-18,Udinese,Werder Bremen,1,1,round : 3,C,Udinese Calcio,Werder Bremen,1,1,False,2005,3,Group,D,0,0,detailed_2005_2021,1500.0,1480.0,20.0,0.529,198,6,0.3333333333333333,1.1666666666666667,1.6666666666666667,2.0,-0.3333333333333333,1486.6,51,60,0.38333333333333336,1.3833333333333333,1.6,1.65,-0.05,1500.0,-13.400000000000091,-0.050000000000000044,-0.21666666666666656,0.06666666666666665,0.3500000000000001
38,2005-10-18,Manchester United,Lille OSC,0,0,round : 3,D,Manchester United,Lille OSC,0,0,False,2005,3,Group,D,0,0,detailed_2005_2021,1510.288,1490.288,20.0,0.529,4,289,0.5294117647058824,1.8269896193771626,1.813148788927336,1.038062283737024,0.7750865051903114,1599.3,82,46,0.1956521739130435,0.9130434782608695,0.8260869565217391,1.2391304347826086,-0.41304347826086957,1430.7,168.5999999999999,0.3337595907928389,0.9139461411162931,0.987061832405597,-0.20106815104558473
39,2005-10-18,Villarreal,SL Benfica,1,1,round : 3,D,Villarreal CF,SL Benfica,1,1,False,2005,3,Group,D,0,0,detailed_2005_2021,1499.712,1499.712,0.0,0.5,72,40,0.275,1.2,1.075,1.25,-0.175,1482.6,9,266,0.43609022556390975,1.537593984962406,1.6466165413533835,1.218045112781955,0.42857142857142855,1532.9,-50.30000000000018,-0.16109022556390973,-0.3375939849624061,-0.5716165413533836,0.03195488721804507
40,2005-10-19,Fenerbahçe,FC Schalke 04,3,3,round : 3,E,Fenerbahçe,FC Schalke 04,3,3,False,2005,3,Group,D,0,0,detailed_2005_2021,1500.575,1490.575,10.0,0.514,61,73,0.273972602739726,0.958904109589041,1.0136986301369864,1.9452054794520548,-0.9315068493150684,1412.3,40,73,0.3972602739726027,1.4246575342465753,1.4383561643835616,1.5205479452054795,-0.0821917808219178,1507.5,-95.20000000000005,-0.1232876712328767,-0.4657534246575342,-0.42465753424657526,0.42465753424657526
41,2005-10-19,Milan,PSV Eindhoven,0,0,round : 3,E,AC Milan,PSV Eindhoven,0,0,False,2005,3,Group,D,0,0,detailed_2005_2021,1509.425,1499.425,10.0,0.514,6,265,0.47924528301886793,1.6981132075471699,1.6264150943396227,0.981132075471698,0.6452830188679245,1571.7,19,171,0.3391812865497076,1.2690058479532165,1.2456140350877194,1.3099415204678362,-0.06432748538011696,1478.1,93.60000000000014,0.14006399646916035,0.4291073595939534,0.38080105925190333,-0.3288094449961382
42,2005-10-19,Olympique Lyonnais,Olympiacos,2,1,round : 3,F,Olympique Lyon,Olympiakos Piraeus,2,1,False,2005,3,Group,H,1,1,detailed_2005_2021,1520.0,1480.0,40.0,0.557,21,136,0.4264705882352941,1.5441176470588236,1.588235294117647,1.2279411764705883,0.3602941176470588,1535.8,25,156,0.30128205128205127,1.0833333333333333,1.1282051282051282,1.698717948717949,-0.5705128205128205,1432.0,103.79999999999995,0.12518853695324283,0.46078431372549034,0.4600301659125188,-0.4707767722473606
43,2005-10-19,Real Madrid,Rosenborg BK,4,1,round : 3,F,Real Madrid,Rosenborg BK,4,1,False,2005,3,Group,H,1,3,detailed_2005_2021,1500.0,1500.0,0.0,0.5,1,486,0.5987654320987654,1.97119341563786,2.213991769547325,1.117283950617284,1.0967078189300412,1630.0,50,90,0.23333333333333334,0.9333333333333333,1.2333333333333334,1.9333333333333331,-0.7,1412.9,217.0999999999999,0.3654320987654321,1.0378600823045268,0.9806584362139916,-0.8160493827160491
44,2005-10-19,Chelsea,Real Betis Balompié,4,0,round : 3,G,Chelsea FC,Real Betis,4,0,False,2005,3,Group,H,1,4,detailed_2005_2021,1510.0,1500.0,10.0,0.514,10,197,0.5126903553299492,1.8020304568527918,1.7106598984771573,0.934010152284264,0.7766497461928934,1593.5,201,6,0.3333333333333333,1.1666666666666667,0.5,1.1666666666666667,-0.6666666666666666,1486.6,106.90000000000009,0.1793570219966159,0.6353637901861251,1.2106598984771573,-0.23265651438240276
45,2005-10-19,RSC Anderlecht,Liverpool,0,1,round : 3,G,RSC Anderlecht,Liverpool FC,0,1,False,2005,3,Group,A,0,-1,detailed_2005_2021,1480.0,1510.0,-30.0,0.457,22,163,0.32515337423312884,1.1901840490797546,1.3312883435582823,1.7239263803680982,-0.39263803680981596,1458.0,7,230,0.5565217391304348,1.8782608695652174,1.891304347826087,0.9608695652173912,0.9304347826086956,1606.0,-148.0,-0.23136836489730594,-0.6880768204854628,-0.5600160042678046,0.763056815150707
46,2005-10-19,FC Porto,Inter,2,0,round : 3,H,FC Porto,Inter Milan,2,0,False,2005,3,Group,H,1,2,detailed_2005_2021,1480.0,1520.0,-40.0,0.443,8,265,0.4528301886792453,1.5773584905660378,1.4792452830188678,1.1547169811320754,0.32452830188679244,1540.4,12,203,0.47783251231527096,1.6945812807881773,1.4088669950738917,1.0295566502463054,0.3793103448275862,1569.5,-29.09999999999991,-0.02500232363602567,-0.11722279022213944,0.07037828794497614,0.12516033088577005
47,2005-10-19,Rangers,FC Petrzalka 1898,0,0,round : 3,H,Rangers FC,FC Petržalka,0,0,False,2005,3,Group,D,0,0,detailed_2005_2021,1500.0,1500.0,0.0,0.5,26,131,0.3282442748091603,1.2213740458015268,1.3206106870229009,1.6564885496183206,-0.33587786259541985,1467.7,214,6,0.16666666666666666,1.0,0.8333333333333334,1.5,-0.6666666666666666,1486.6,-18.899999999999864,0.16157760814249364,0.22137404580152675,0.4872773536895675,0.1564885496183206
56,2005-11-01,FC Schalke 04,Fenerbahçe,2,0,round : 4,E,FC Schalke 04,Fenerbahçe,2,0,False,2005,4,Group,H,1,2,detailed_2005_2021,1490.863,1500.287,-9.425,0.486,40,73,0.3972602739726027,1.4246575342465753,1.4383561643835616,1.5205479452054795,-0.0821917808219178,1507.5,61,73,0.273972602739726,0.958904109589041,1.0136986301369864,1.9452054794520548,-0.9315068493150684,1412.3,95.20000000000005,0.1232876712328767,0.4657534246575342,0.42465753424657526,-0.42465753424657526
57,2005-11-01,PSV Eindhoven,Milan,1,0,round : 4,E,PSV Eindhoven,AC Milan,1,0,False,2005,4,Group,H,1,1,detailed_2005_2021,1499.713,1509.137,-9.425,0.486,19,171,0.3391812865497076,1.2690058479532165,1.2456140350877194,1.3099415204678362,-0.06432748538011696,1478.1,6,265,0.47924528301886793,1.6981132075471699,1.6264150943396227,0.981132075471698,0.6452830188679245,1571.7,-93.60000000000014,-0.14006399646916035,-0.4291073595939534,-0.38080105925190333,0.3288094449961382
58,2005-11-01,Olympiacos,Olympique Lyonnais,1,4,round : 4,F,Olympiakos Piraeus,Olympique Lyon,1,4,False,2005,4,Group,A,0,-3,detailed_2005_2021,1471.146,1528.854,-57.708,0.418,25,156,0.30128205128205127,1.0833333333333333,1.1282051282051282,1.698717948717949,-0.5705128205128205,1432.0,21,136,0.4264705882352941,1.5441176470588236,1.588235294117647,1.2279411764705883,0.3602941176470588,1535.8,-103.79999999999995,-0.12518853695324283,-0.46078431372549034,-0.4600301659125188,0.4707767722473606
59,2005-11-01,Rosenborg BK,Real Madrid,0,2,round : 4,F,Rosenborg BK,Real Madrid,0,2,False,2005,4,Group,A,0,-2,detailed_2005_2021,1490.0,1510.0,-20.0,0.471,50,90,0.23333333333333334,0.9333333333333333,1.2333333333333334,1.9333333333333331,-0.7,1412.9,1,486,0.5987654320987654,1.97119341563786,2.213991769547325,1.117283950617284,1.0967078189300412,1630.0,-217.0999999999999,-0.3654320987654321,-1.0378600823045268,-0.9806584362139916,0.8160493827160491
